Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Kalimantan Selatan,Hulu Sungai Tengah,3.26,71.97,3.94,70.41
Kalimantan Selatan,Hulu Sungai Utara,3.85,75.34,3.94,70.41
Kalimantan Selatan,Tabalong,3.6,72.94,3.94,70.41
Kalimantan Selatan,Kota Banjar Baru,5.01,67.18,3.94,70.41
Kalimantan Selatan,Kota Banjarmasin,6.7,66.16,3.94,70.41
Kalimantan Selatan,Balangan,2.7,73.16,3.94,70.41
Kalimantan Selatan,Tanah Bumbu,6.56,68.57,3.94,70.41
Kalimantan Selatan,Hulu Sungai Selatan,2.12,74.91,3.94,70.41
Kalimantan Timur,Kalimantan Timur,5.31,65.57,5.33,66.4
Kalimantan Timur,Kota Bontang,7.74,68.35,5.33,66.4
Kalimantan Timur,Kota Balikpapan,6.09,63.48,5.33,66.4
Kalimantan Timur,Mahakam Ulu,2.09,75.0,5.33,66.4
Kalimantan Timur,Penajam Paser Utara,2.07,66.25,5.33,66.4
Kalimantan Timur,Berau,4.95,66.91,5.33,66.4
Kalimantan Timur,Kutai Timur,5.93,66.22,5.33,66.4
Kalimantan Timur,Kutai Kartanegara,4.05,65.32,5.33,66.4
Kalimantan Timur,Kutai Barat,6.16,70.51,5.33,66.4
Kalimantan Timur,Kota Samarinda,5.92,65.49,5.33,66.4
Kalimantan Timur,Paser,4.72,62.95,5.33,66.4
Kalimantan Utara,Kota Tarakan,5.25,66.14,3.9,69.19
Kalimantan Utara,Malinau,3.19,74.26,3.9,69.19
Kalimantan Utara,Bulungan,4.54,71.86,3.9,69.19
Kalimantan Utara,Tana Tidung,3.24,75.88,3.9,69.19
Kalimantan Utara,Nunukan,2.69,71.93,3.9,69.19
Kalimantan Utara,Kalimantan Utara,4.01,70.35,3.9,69.19
Sulawesi Utara,Minahasa,7.65,61.11,6.03,65.3
Sulawesi Utara,Kepulauan Sangihe,2.56,65.19,6.03,65.3
Sulawesi Utara,Kepulauan Talaud,3.1,73.88,6.03,65.3
Sulawesi Utara,Minahasa Selatan,4.98,63.62,6.03,65.3
Sulawesi Utara,Minahasa Utara,7.17,61.59,6.03,65.3
Sulawesi Utara,Bolaang Mongondow Utara,4.48,64.45,6.03,65.3
Sulawesi Utara,Siau Tagulandang Biaro,2.09,62.76,6.03,65.3
Sulawesi Utara,Bolaang Mongondow,4.61,65.5,6.03,65.3
Sulawesi Utara,Sulawesi Utara,6.1,64.09,6.03,65.3
Sulawesi Utara,Kota Kotamobagu,6.34,69.41,6.03,65.3
Sulawesi Utara,Kota Tomohon,8.52,63.64,6.03,65.3
Sulawesi Utara,Bolaang Mongondow Selatan,2.55,64.46,6.03,65.3
Sulawesi Utara,Kota Bitung,7.82,64.54,6.03,65.3
Sulawesi Utara,Kota Manado,8.85,61.27,6.03,65.3
Sulawesi Utara,Bolaang Mongondow Timur,5.35,69.23,6.03,65.3
