Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja
Maluku Utara,Pulau Taliabu,3.15,63.11
Maluku Utara,Pulau Morotai,4.56,64.72
Maluku Utara,Halmahera Timur,4.66,70.55
Maluku Utara,Halmahera Utara,6.53,69.86
Maluku Utara,Halmahera Selatan,2.44,73.24
Maluku Utara,Kepulauan Sula,2.67,62.38
Maluku Utara,Kota Ternate,6.62,61.2
Maluku Utara,Halmahera Barat,3.77,68.09
Maluku Utara,Kota Tidore Kepulauan,3.52,68.72
Papua Barat,Papua Barat,5.38,67.24
Papua Barat,Pegunungan Arfak,,94.49
Papua Barat,Manokwari Selatan,,80.47
Papua Barat,Manokwari,5.97,68.19
Papua Barat,Teluk Bintuni,3.52,69.33
Papua Barat,Teluk Wondama,2.77,69.13
Papua Barat,Kaimana,3.24,64.64
Papua Barat,Fakfak,6.52,64.82
Papua,Supiori,4.81,57.48
Papua,Mamberamo Raya,,42.81
Papua,Waropen,4.62,66.53
Papua,Keerom,1.5,76.79
Papua,Sarmi,3.09,65.73
Papua,Biak Numfor,5.72,65.97
Papua,Kepulauan Yapen,4.01,61.05
Papua,Jayapura,4.07,67.69
Papua,Kota Jayapura,10.76,67.37
Papua,Papua,2.67,77.2
