id,companyName,categoriesName
1032875712,"PT Kobexindo Tractors, Tbk","Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875393,PT Cipta Piranti Sejahtera,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857439,PT Multifortuna Sinardelta,"Penjualan / Pemasaran,Penjualan Ritel"
1032875464,PT Prima Fajar Cahaya Surya,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032874808,PT Solusindo Jitu,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875885,PT Cipta Piranti Sejahtera,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032875101,PT Cipta Piranti Sejahtera,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032668667,PT. Links Creative,"Seni/Media/Komunikasi,Periklanan"
1032875124,PT Jala Lintas Media,"Lainnya,Pekerjaan Umum"
1032657031,PT Kreatif Media Karya,"Seni/Media/Komunikasi,Periklanan"
1032875768,PT NexWave,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032874783,PT Geo Given Visi Mandiri,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730398,PT Sinergi Sukses Digitalindo (Alibaba.com),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875058,PT Cipta Piranti Sejahtera,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875674,Toby's Fried Chicken And Resto Ngagel,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032773517,PT Beaute Haul Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032680030,PT Artajasa Pembayaran Elektronis,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032707750,PT Cargill Indonesia,"Manufaktur,Manufaktur"
1032899938,PT ABC Cooking Studio Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032857356,PT Pancaran Darat Transport,"Akuntansi / Keuangan,Audit & Pajak"
1032875926,PT Sumbermitra Wisata Graha,"Hotel/Restoran,Hotel/Pariwisata"
1032875160,PT Tabu Life International (Bali),"Lainnya,Pekerjaan Umum"
1032875089,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032680085,PT Artajasa Pembayaran Elektronis,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032891943,PT Tech Mahindra Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032874832,PT Sasa Inti,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730408,PT Trenologi Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032875877,SEMPOA SIP SIMALINGKAR,"Layanan Kesehatan,Diagnosa/Lainnya"
1032632485,Hotel 88 Grogol,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032654104,PT Mitra Pinasthika Mustika (MPM Rent),"Penjualan / Pemasaran,Penjualan - Korporasi"
1032858706,PT Daya Cipta Gemilang,"Pelayanan,Logistik/Rantai Pasokan"
1032875386,PT CS2 Pola Sehat (Orang Tua Group),"Penjualan / Pemasaran,Penjualan Ritel"
1032859152,PT Dua Puluh Empat Jam Online (UniPin),"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875660,Tiara Kasih Bunda,"Lainnya,Pekerjaan Umum"
1032892116,PT Cushman & Wakefield Indonesia,"Bangunan/Konstruksi,Properti/Real Estate"
1032632407,PT Asuransi Allianz Life Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032858687,PT Evecare Indonesia Trading,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875300,PT Jala Lintas Media,"Akuntansi / Keuangan,Audit & Pajak"
1032730315,PT Saf Indonusa,"Penjualan / Pemasaran,Penjualan Ritel"
1032723570,CV Inti Daya Engineering,"Akuntansi / Keuangan,Audit & Pajak"
1032875549,PT NexWave,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032874876,PT Revolver Cinta Kopi,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032707671,APPINZPIRE,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032857224,PT Asaba Utama Corporatama,"Hotel/Restoran,Hotel/Pariwisata"
1032875551,PT Dana Purna Investama,"Manufaktur,Pemeliharaan"
1032875253,PT Jakarta Realty (Thamrin City),"Bangunan/Konstruksi,Properti/Real Estate"
1032857707,PT Duta Serpack Inti,"Penjualan / Pemasaran,Penjualan Ritel"
1032875043,PT Jala Lintas Media,"Penjualan / Pemasaran,Penjualan Ritel"
1032899499,PT Naku Freight Indonesia,"Hotel/Restoran,Hotel/Pariwisata"
1032875316,PT Jala Lintas Media,"Akuntansi / Keuangan,Audit & Pajak"
1032730347,PT Mitra Konsultasi Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032914802,International Humanity Foundation Bali Center ( IHF ),"Pendidikan/Pelatihan,Pelatihan & Pengembangan"
1032874992,PT Trisatria Persada Borneo,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
1032875187,PT Indonesia Oppo Electronics Jakarta,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032632626,PT Cahaya Tiga Bintang Abadi,"Penjualan / Pemasaran,Penjualan Ritel"
1032679921,PT Permata Indo Sejahtera,"Penjualan / Pemasaran,Penjualan Ritel"
1032632612,PT Schlumberger Geophysics Nusantara,"Pelayanan,Logistik/Rantai Pasokan"
1032875740,PT NexWave,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032730346,Ismaya Group,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032632592,PT Chandra Asri Petrochemical Tbk,"Pelayanan,Pengacara / Asisten Legal"
1032874925,PT Revolver Cinta Kopi,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032632459,PT Mitrausaha Indonesia Grup,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032632473,PT Indonesia Oppo Electronics Jakarta,"Pelayanan,Logistik/Rantai Pasokan"
1032914799,Plan International Indonesia,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032707658,PT Intrepid Ecommerce Services,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
